email,name,phone,skill1,skill2,skill3
man@gmail.com,Man,+852 96551703,Personal Training (PT),,
keung@gmail.com,Keung,+852 96551705,Spinning,Cardio,HIIT
elena@gmail.com,Elena,+852 96551705,Meditation,Yoga,Aerobics
daniel@gmail.com,Daniel,+852 68842235,TRX,,
ivan@gmail.com,Ivan,+852 96551702,Tai Chi,,
sara@gmail.com,Sara,+852 91234567,Pilates,Stretching,Yoga
leo@gmail.com,Leo,+852 93456789,Boxing,Kickboxing,
amy@gmail.com,Amy,+852 92345678,Barre,Dance,Core Training
tony@gmail.com,Tony,+852 97654321,CrossFit,HIIT,Strength Training
nina@gmail.com,Nina,+852 98887766,Yoga,Meditation,Stretching
jason@gmail.com,Jason,+852 91112233,Kettlebell,Cardio,TRX
mia@gmail.com,Mia,+852 90001122,Pilates,Yoga,Core Training
